column,dtype,category,n_unique,pct_nan
PC_407,float64,feature,2163650,0.0
PC_408,float64,feature,2163650,0.0
PC_409,float64,feature,2163650,0.0
PC_410,float64,feature,2163650,0.0
PC_411,float64,feature,2163650,0.0
PC_412,float64,feature,2163650,0.0
PC_413,float64,feature,2163650,0.0
PC_414,float64,feature,2163650,0.0
PC_415,float64,feature,2163650,0.0
PC_416,float64,feature,2163650,0.0
PC_417,float64,feature,2163650,0.0
PC_418,float64,feature,2163650,0.0
PC_419,float64,feature,2163650,0.0
PC_420,float64,feature,2163650,0.0
PC_421,float64,feature,2163650,0.0
PC_422,float64,feature,2163650,0.0
PC_423,float64,feature,2163650,0.0
PC_424,float64,feature,2163650,0.0
PC_425,float64,feature,2163650,0.0
PC_426,float64,feature,2163650,0.0
PC_427,float64,feature,2163650,0.0
PC_428,float64,feature,2163650,0.0
PC_429,float64,feature,2163650,0.0
PC_430,float64,feature,2163650,0.0
